repo_name,refactors
lastbackend/lastbackend,26
lastship/plugin.video.lastship,13
lbryio/lbry.io,63
leancloud/docs,71
lede-project/source,670
leegarner-glfusion/paypal,78
legatoproject/legato-af,46
leo-yuriev/libfpta,84
lexus2k/ssd1306,67
liangxiegame/QFramework,36
libMesh/libmesh,165
libgraviton/graviton,56
libocca/occa,67
libopenstorage/openstorage,60
libracore/erpnext,41
libretro/RetroArch,720
libvirt/libvirt,1003
linkedin/WhereHows,198
lino-framework/book,8
linq2db/linq2db,90
linux-test-project/ltp,224
linuxkit/linuxkit,42
liqd/a4-meinberlin,79
liveblog/liveblog,25
livepeer/go-livepeer,96
llir/llvm,49
lnked/react-starter,18
loadimpact/k6,74
lobnek/pyutil,29
locdb/locdb-frend,44
loomio/loomio,46
lostjared/Acid.Cam.v2.OSX,25
lriki/Lumino,16
lsst-sqre/jenkins-dm-jobs,119
lucas-clemente/quic-go,144
lucee/Lucee,33
luci/luci-go,229
luspi/photoqt,101
lxc/lxc,225
malinink/easy-tests,54
mapcentia/vidi,53
mapsplugin/cordova-plugin-googlemaps,23
maqsoftware/maqsoftware,12
marekjm/viuavm,239
mariadb-corporation/mariadb-columnstore-engine,45
marius-wieschollek/passwords,121
marshmallow-code/marshmallow,65
masasam/dotfiles,19
material-components/material-components-android,70
matsp/material-components-vue,53
mattgodbolt/compiler-explorer,131
mattzeunert/FromJS,103
mcansh/blog,36
mdda/deep-learning-workshop,29
meetecho/janus-gateway,84
megalithic/dotfiles,42
meganz/sdk,102
mercadopago/px-android,96
merrillrudd/LIME,26
metasfresh/metasfresh-webui-api,254
metosin/reitit,25
micahflee/onionshare,136
michpolicht/CuteHMI,81
microhh/microhh2,62
midas-isg/digital-commons,56
mikeireland/chronostar,24
miku/span,18
mingzuozhibi/mzzb-ui,79
ministryofjustice/opg-digi-deps-client,212
miraheze/puppet,138
missionpinball/mpf,77
mitmproxy/mitmproxy,74
mitodl/open-discussions,69
mjmlio/mjml,10
mltframework/shotcut,45
mmz-srf/srf-frontend-framework,136
mobxjs/mobx-state-tree,96
moio/sumaform,82
mollie/mollie-api-php,56
molpopgen/fwdpy11,90
mongodb/mongo-php-driver,57
mongodb/mongo-ruby-driver,52
moov-io/ach,56
mopsalarm/Pr0,80
morganbengtsson/mos,97
movim/movim,88
mozilla-iot/gateway,47
mozilla/addons-server,225
mozilla/fxa-content-server,81
mozilla/pdf.js,231
mpcsh/dotfiles,93
mpigsley/sectors-without-number,32
mquinson/po4a,53
mrdoob/three.js,644
mroonga/mroonga,34
mrtyler/gpii-infra,85
mu-editor/mu,59
mujx/nheko,47
muldjord/skyscraper,76
murisi/L2,171
mvysny/vaadin-on-kotlin,53
n2n/rocket,15
nabeelio/phpvms,144
nai888/langua,45
nais/naisd,44
namhyung/uftrace,115
namics/generator-nitro,53
nanoframework/nf-interpreter,118
nansencenter/nansat,60
napatech/dpdk,866
nayutaco/ptarmigan,140
ncw/rclone,89
ndlib/usurper,36
ndrmc/cats-web,32
neinteractiveliterature/intercode,127
nemerosa/ontrack,48
neo4j/neo4j-browser,57
neos/neos-development-collection,98
neowu/core-ng-project,107
nerosketch/djing,51
neutronimaging/imagingsuite,44
nextstrain/augur,116
nextstrain/auspice,94
ngageoint/scale,91
nimble-platform/frontend-service,72
nimona/go-nimona,114
nismod/smif,137
noironetworks/neutron,159
noms-digital-studio/licences,109
nortikin/sverchok,51
novoda/download-manager,150
nozzle/react-static,50
nsnam/ns-3-dev-git,104
ntop/ntopng,221
nunit/nunit,63
nycmeshnet/nycmeshnet.github.io,6
oVirt/ovirt-web-ui,66
oVirt/vdsm,259
oat-sa/extension-tao-testqti,67
obduk/cms,52
objective-audio/ui,16
oci-pronghorn/GreenLightning,82
oestrich/ex_venture,98
offensive-security/kali-arm-build-scripts,57
oilshell/oil,291
oinume/lekcije,61
oliexdev/openScale,115
olifolkerd/tabulator,67
onap-sdc/sdc-ui,23
onedata/oneclient,72
onedata/onepanel,59
onedata/op-worker,308
oors/oors,54
open-campaign-logger/generator-library,65
openacs/openacs-core,296
openbmc/openbmc-test-automation,55
opencart/opencart,21
opencobra/cobratoolbox,116
opencog/atomspace,266
opencog/link-grammar,179
opendaylight/netvirt,115
openego/eDisGo,70
openego/eTraGo,38
openembedded/meta-openembedded,494
openfl/openfl,125
openfoodfoundation/openfoodnetwork,264
opennars/opennars,359
opennode/waldur-homeport,152
openpgpjs/openpgpjs,52
openradiation/openradiation-mobile,66
opensalt/opensalt,142
openshift/openshift-ansible,385
opensim-org/opensim-core,106
opensingular/singular-core,65
openstack/cinder,252
openstack/ironic,134
openstack/kolla,36
openstack/neutron,168
openstack/openstack-ansible,100
openstack/puppet-tripleo,58
openstreetmap/chef,39
openstreetmap/iD,147
openthread/openthread,105
openwrt/openwrt,670
opesci/devito,237
opnfv/functest,86
opnsense/core,273
oppia/oppia,156
orbeon/orbeon-forms,125
orbingol/NURBS-Python,170
orfeotoolbox/OTB,141
ory/hydra,60
osbzr/gooderp_addons,2
osmandapp/osmandapp.github.io,12
owid/owid-grapher,50
