name,fork,language,contributors_count,forks_count,network_count,open_issues_count,stargazers_count,subscribers_count,watchers_count
binary-com/binary-static,FALSE,JavaScript,47,133,133,27,16,28,16
bingosummer/azure-quickstart-templates,TRUE,Shell,358,1,6617,1,0,2,0
bioconda/bioconda-recipes,FALSE,Shell,351,943,943,702,867,107,867
BioContainers/containers,FALSE,Dockerfile,28,104,104,41,273,26,273
biothings/biothings.api,FALSE,JavaScript,7,6,6,19,11,7,11
biow0lf/prometheus2.0,FALSE,Ruby,7,3,3,18,6,2,6
BirkbeckCTP/janeway,FALSE,Python,9,19,19,159,69,9,69
birsoyo/conan,TRUE,Python,109,0,330,0,0,1,0
bitpay/copay,FALSE,TypeScript,70,1250,1250,141,2545,318,2545
bitrise-io/devcenter,FALSE,CSS,83,139,139,4,112,9,112
bitsoko-services/bits,FALSE,JavaScript,5,6,6,2,11,5,11
bitwarden/web,FALSE,TypeScript,16,100,100,35,568,58,568
bitwiseman/js-beautify,TRUE,JavaScript,155,2,1058,0,3,2,3
bitzhuwei/CSharpGL,FALSE,C#,4,101,101,0,233,37,233
bizley/yii2,TRUE,PHP,360,0,6702,0,0,1,0
bjadamson/BoomHS,FALSE,C++,1,0,0,0,2,1,2
bjagg/uPortal,TRUE,Java,74,0,236,0,1,0,1
BjerknesClimateDataCentre/QuinCe,FALSE,Java,3,4,4,349,2,2,2
bjlemke/MINGW-packages,TRUE,Shell,274,0,594,0,0,1,0
bkimminich/juice-shop,FALSE,JavaScript,42,873,873,33,1638,67,1638
blakearchive/archive,FALSE,JavaScript,12,4,4,59,4,12,4
blevesearch/bleve,FALSE,Go,55,393,393,145,4907,232,4907
blinksh/blink,FALSE,Objective-C,22,269,269,238,2386,89,2386
blitzmann/Pyfa,TRUE,Python,71,0,247,23,2,2,2
Blockrazor/blockrazor,FALSE,JavaScript,24,56,56,3,40,18,40
Blub/lxc,TRUE,C,298,0,760,0,0,1,0
bluebreezecf/kubernetes,TRUE,Go,377,0,16475,0,0,1,0
blueskycoco/rt-thread,TRUE,C,127,1,1569,0,0,1,0
Blunk-electronic/ET,FALSE,Ada,1,1,1,1,1,0,1
blynkkk/blynk-server,FALSE,Java,13,419,419,39,1251,147,1251
bmoore-msft/azure-quickstart-templates,TRUE,Shell,359,1,6617,1,0,1,0
bmorrise/pentaho-kettle,TRUE,Java,161,0,1608,0,0,1,0
bobintetley/asm3,FALSE,Python,5,14,14,192,31,13,31
bokeh/bokeh,FALSE,Python,341,2366,2366,481,8875,399,8875
BoldGrid/boldgrid-theme-framework,FALSE,PHP,6,2,2,18,8,6,8
bomsy/debugger.html,TRUE,JavaScript,329,0,784,0,0,1,0
Bonitasoft-Community/docker_docs,TRUE,Shell,281,1,1139,0,0,2,0
